"","player","ROI","salary","gp","PVWL","position","Z_val"
"239","Torrey Craig",0.147769346581391,5121951,79,3.89635459307104,"PF",1.48453392359203
"244","Dario Saric",0.0236260752935382,9240000,57,2.87758987810386,"PF",-0.184878742444606
"247","Jerami Grant",-0.0180233240749135,20955000,63,3.36638161278424,"PF",-0.744957706992682
"253","Harrison Barnes",-0.0120665678930556,18352273,82,4.63842539558045,"PF",-0.664854418950371
"260","Trey Lyles",0.0352694236254203,2625000,74,4.07269793580157,"PF",-0.0283051885284181
"263","Giannis Antetokounmpo",0.0101760166160738,42492492,63,8.09566658489685,"PF",-0.365747975888852
"267","Bobby Portis",0.0738842927799848,10843350,70,6.14325756017344,"PF",0.490967028122805
"273","Marcus Morris Sr.",-0.00327934552212972,16372093,65,1.97997813700738,"PF",-0.54668852745159
"277","Nicolas Batum",0.00465917383894388,19700319,78,3.41360358397095,"PF",-0.439935542505478
"278","Robert Covington",0.00963436606178791,12307692,48,2.53955653663408,"PF",-0.373031804375971
"288","Isaiah Livers",0.0205061625129686,1563518,51,1.52837468603629,"PF",-0.226833669673288
"294","Derrick Jones Jr.",0.0587277909641162,3200000,63,3.12627645211495,"PF",0.287150455208843
"303","Chimezie Metu",0.0399939812013381,1910860,66,3.57090186729924,"PF",0.035228148210939
"309","Chris Boucher",0.00418016228769713,12690000,76,5.22367210648477,"PF",-0.446377035004696
"320","Trendon Watford",0.0713658113156919,1563518,61,3.09577810536118,"PF",0.457099829264154
"325","Davis Bertans",-0.0052593449639432,1.6e+07,45,1.74223680833669,"PF",-0.573314506553144
"3","Joel Embiid",0.0203042894719982,33616770,66,8.39707206987237,"C",-0.463243396514313
"6","Montrezl Harrell",0.119245043467777,2463490,57,3.36396277988569,"C",1.21729352700847
"13","Al Horford",0.0101390284081915,26500000,63,3.94388256732292,"C",-0.635903254712933
"21","Anthony Davis",0.0283313866584463,37980720,56,8.35648322003184,"C",-0.326900861555388
"27","Wenyen Gabriel",0.159477053702626,1878720,68,4.21597976437673,"C",1.90064569461066
"29","Kevon Looney",0.0981844676674974,8e+06,81,8.14257488121086,"C",0.859573640777057
"33","James Wiseman",0.0193124580593818,9603360,45,2.56032889994793,"C",-0.480089935917912
"40","Wendell Carter Jr.",-0.00819221299769424,14150000,57,4.58812333053814,"C",-0.947264617876943
"45","Mo Bamba",0.00383220621221203,10300000,49,2.95642614954474,"C",-0.743026428353683
"49","Isaiah Stewart",0.0229216974465045,3433320,49,3.09416475209853,"C",-0.418785975608986
"51","Jalen Duren",0.0310207303343382,4124280,66,5.95550056674555,"C",-0.28122159224669
"57","Kristaps Porzingis",-0.0203096523664287,33833400,65,7.00082613367683,"C",-1.15308278132631
"64","Daniel Gafford",0.131270769930662,1930681,78,6.28461923881844,"C",1.42155392059639
"66","Jalen Smith",0.0398526286931105,4670160,68,4.1922635521469,"C",-0.131209279854667
"69","Isaiah Jackson",0.0364751454240373,2573760,63,3.74152518281944,"C",-0.188576796404016
"80","Alperen Sengun",0.0543067363040737,3375360,75,6.66897008236381,"C",0.114297860083156
"85","Clint Capela",0.0167014754954582,18206896,65,7.9459555575129,"C",-0.52443821939203
"90","Onyeka Okongwu",0.0467270616366819,6395160,80,7.10974535091222,"C",-0.014445075789211
"93","Jonas Valanciunas",0.0202048476615482,14700000,79,7.49283147774227,"C",-0.464932444024607
"98","Larry Nance Jr.",0.0306788365960189,9672727,65,5.10088846625553,"C",-0.287028754896687
"104","Nic Claxton",0.06215867467981,9350000,76,8.57596508586293,"C",0.247665272688616
"107","Day'Ron Sharpe",0.0825714454421951,2109480,48,2.758032083983,"C",0.594382005603933
