"","player","GP","PVWS","WSpg","position","Z_val"
"118","Royce O'Neale",76,3.72592759994328,0.0490253631571484,"SF",0.919242057593258
"127","Yuta Watanabe",58,1.86489070653108,0.0321532880436394,"SF",-0.108518807043386
"128","Kessler Edwards",36,0.592993592188199,0.01647204422745,"SF",-0.810926202938232
"129","DeMar DeRozan",73,5.33110670763771,0.0730288590087357,"SF",1.80570501459349
"134","Javonte Green",32,1.11358393400388,0.0347994979376213,"SF",-0.523429280271118
"139","Caleb Martin",71,3.63371059697871,0.0511790224926579,"SF",0.868315057147129
"143","Max Strus",80,2.95936574798222,0.0369920718497778,"SF",0.495906940187575
"146","Duncan Robinson",42,0.604458927719844,0.0143918792314249,"SF",-0.804594451428595
"153","Isaac Okoro",76,2.43558525163969,0.0320471743636802,"SF",0.206648249128634
"156","Cedi Osman",77,2.28628414695314,0.0296920019084824,"SF",0.124196454117459
"158","OG Anunoby",67,4.08575150154076,0.0609813656946382,"SF",1.11795543373956
"159","Scottie Barnes",77,5.23794226869759,0.0680252242687998,"SF",1.75425479098029
"175","Cam Reddish",40,1.10064480917693,0.0275161202294234,"SF",-0.530574934485099
"181","John Konchar",72,3.36747221697714,0.0467704474580159,"SF",0.721284448243847
"188","Luguentz Dort",74,2.74628442052814,0.0371119516287587,"SF",0.378232406105341
"199","Eugene Omoruyi",40,0.862737938708461,0.0215684484677115,"SF",-0.661959417920764
