"","player","ROI","salary","gp","PVGS","position","Z_val"
"314","Dillon Brooks",0.0175499383582374,11400000,73,3.23320264052566,"SF",-0.170970280388907
"315","Jabari Walker",0.00624328953671083,1017781,55,0.636702669051788,"SF",-0.427536185350801
"321","Anthony Lamb",0.11287962079701,694878,61,1.6660315928251,"SF",1.99221234168633
"324","Corey Kispert",0.0135957903037685,3552840,74,3.26570265924687,"SF",-0.260696209792201
"331","Ish Wainright",0.0595863009426401,980057,60,0.949645673342465,"SF",0.782901868469206
"335","Pat Connaughton",0.0249591282771298,5728393,61,1.96092367273274,"SF",-0.00284393751037064
"339","T.J. Warren",0.0264056374386621,2628597,42,1.20736538585271,"SF",0.029979663710676
"341","Joe Ingles",0.0137780968493415,6479000,46,1.50339209922216,"SF",-0.256559383347537
"2","P.J. Tucker",0.0063572342758671,10490000,75,1.13266388791463,"PF",-0.289969330061503
"9","Georges Niang",0.0594899514418135,3465000,78,2.14061327208581,"PF",0.890460017374335
"16","Grant Williams",0.140431284930013,4306281,79,2.76229807647616,"PF",2.68870280574237
"20","LeBron James",0.0171075712808042,44474988,55,7.14410777384295,"PF",-0.0511331859241862
"28","Draymond Green",0.0173160087460735,25806468,72,3.963106535712,"PF",-0.0465024101191289
"34","JaMychal Green",0.0111058635186767,8200000,57,1.59896580328637,"PF",-0.184470842175077
"35","Jonathan Kuminga",0.0348810847528975,5739840,67,2.64261559173688,"PF",0.343734195767933
"38","Paolo Banchero",0.0012227779507028,11055120,72,5.54725240399633,"PF",-0.404039591336151
"44","Bol Bol",0.0574300809088288,2200000,70,2.85939110298513,"PF",0.844696658021581
"48","Bojan Bogdanovic",-0.0197456180287598,19550000,58,4.79136632053011,"PF",-0.869886461269561
"57","Kyle Kuzma",-0.00612679083686829,1.3e+07,64,4.9360190045805,"PF",-0.567322162802451
"61","Rui Hachimura",0.0256584602328978,6263188,63,2.71220710752121,"PF",0.138838658244653
"63","Anthony Gill",-0.0015176661156755,1836090,59,0.710960948344361,"PF",-0.4649229937576
"73","Oshae Brissett",0.0126955473935551,1846738,65,1.52511455364848,"PF",-0.149153440785813
"76","Jabari Smith Jr.",-0.0026591843134316,8882640,79,3.8501621517452,"PF",-0.490283668933591
"80","Tari Eason",0.0184693385639503,3359160,82,3.46996101342432,"PF",-0.0208793206760924
"85","John Collins",-0.00729105486236226,23500000,71,3.98874580916769,"PF",-0.593188173373009
"95","Herbert Jones",0.0631266419135479,1785000,66,3.11598735236942,"PF",0.971254984945219
"103","Kevin Durant",-0.000552372143796886,44119845,47,6.34706838911945,"PF",-0.443477425112021
"113","Patrick Williams",0.0123596500047571,7775400,81,3.37332796106465,"PF",-0.156615945182602
"120","Jimmy Butler",0.00616610480504032,37653300,64,8.14327006064916,"PF",-0.294215580743905
"128","Haywood Highsmith",0.0281136804796629,1752638,54,0.919473451207438,"PF",0.193385351662352
"130","Evan Mobley",0.0304403741720629,8478720,79,6.46163530653704,"PF",0.245076619557137
"135","Kevin Love",-0.0261155875348511,30556968,62,2.19181653383085,"PF",-1.0114056484735
"136","Dean Wade",0.0236713804197086,1930681,44,0.856399765864446,"PF",0.0946924625991345
"141","Pascal Siakam",-0.0082347442994144,35448672,71,7.75940856262087,"PF",-0.614153762294095
"146","Thaddeus Young",-0.0607969276528212,8e+06,54,1.26111671451507,"PF",-1.78190777724274
"147","Juancho Hernangomez",-0.0344427606626491,2298385,42,0.474330805106682,"PF",-1.1964072833519
"149","Julius Randle",0.0228468047358001,23760000,77,8.07668100076354,"PF",0.0763731785800704
"154","Obi Toppin",0.00367687062204203,5348280,67,1.81547927004472,"PF",-0.349517948832374
"156","Santi Aldama",0.291188509607737,2094120,77,3.16241237644902,"PF",6.03801866684838
"160","Brandon Clarke",0.074553846474914,4343919,56,2.87609829391108,"PF",1.22512883787203
"162","David Roddy",0.0421104295911192,2588640,70,1.44846436293923,"PF",0.504345797525806
"165","Kenrich Williams",0.0427519696104672,2e+06,53,2.23556526133213,"PF",0.518598647874635
"166","Josh Giddey",0.0225732894002444,6287400,76,5.96974706220423,"PF",0.0702965925087178
"169","Jeremiah Robinson-Earl",0.0209190599902895,2e+06,43,1.33636464210468,"PF",0.0335452075418344
"178","Kyle Anderson",0.0156718660834336,8780488,68,3.95358066420403,"PF",-0.0830297016613601
"181","Taurean Prince",0.00025704195441012,7295000,53,1.5804493195861,"PF",-0.42549498026984
"184","P.J. Washington",0.016621823792133,5808435,73,4.49908083720236,"PF",-0.0619248529356794
"191","JT Thor",-0.00119918016860698,1563518,69,0.761447776618124,"PF",-0.457847312732453
"197","Jeremy Sochan",-0.0055832170380935,5063520,55,2.42343699873609,"PF",-0.555245790676273
"203","Keita Bates-Diop",0.0301360246712474,1878720,64,2.73631588819627,"PF",0.238315002576059
"205","Aaron Gordon",0.0212807698059858,19690909,68,5.55870462760374,"PF",0.0415811767991562
"212","Jeff Green",0.0350356409358694,4500000,56,1.59943136260361,"PF",0.347167911639039
"215","Vlatko Cancar",0.0258145499502134,2234359,60,1.19059408009627,"PF",0.142306444064392
"216","Zeke Nnaji",0.030625572690538,2617800,53,1.04221133634004,"PF",0.249191104529303
"217","Lauri Markkanen",-0.00140145393346502,16475454,66,7.45126055149942,"PF",-0.462341151952251
"219","Jarred Vanderbilt",0.0326800410584136,4374000,78,3.71816602476246,"PF",0.294834446036658
"224","Rudy Gay",-0.0251182724497581,6184500,56,0.947312291588341,"PF",-0.98924867894741
"231","Dorian Finney-Smith",0.0109688330735378,12939848,66,2.35418281260802,"PF",-0.187515195401526
"242","Torrey Craig",0.0773513721349364,5121951,79,2.87138417107614,"PF",1.28728040032613
"247","Dario Saric",0.0022445758298919,9240000,57,1.40716607651718,"PF",-0.381338696895248
"250","Jerami Grant",0.00163504563137651,20955000,63,5.22837977307461,"PF",-0.394880397242112
